Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Sr Data Scientist,$137K-$171K,3.1,Healthfirst,"New York, NY",1001 - 5000 ,Nonprofit Organization,Insurance Carriers,Unknown 
Data Scientist,$137K-$171K,4.2,ManTech,"Chantilly, VA",5001 - 10000 ,Company - Public,Research & Development,$1 to $2 billion 
Data Scientist,$137K-$171K,3.8,Analysis Group,"Boston, MA",1001 - 5000 ,Private Practice / Firm,Consulting,$100 to $500 million 
Data Scientist,$137K-$171K,3.5,INFICON,"Newton, MA",501 - 1000 ,Company - Public,Electrical & Electronic Manufacturing,$100 to $500 million 
Data Scientist,$137K-$171K,2.9,Affinity Solutions,"New York, NY",51 - 200 ,Company - Private,Advertising & Marketing,Unknown 
Data Scientist,$137K-$171K,4.2,HG Insights,"Santa Barbara, CA",51 - 200 ,Company - Private,Computer Hardware & Software,Unknown 
Data Scientist / Machine Learning Expert,$137K-$171K,3.9,Novartis,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion 
Data Scientist,$137K-$171K,3.5,iRobot,"Bedford, MA",1001 - 5000 ,Company - Public,Consumer Electronics & Appliances Stores,$1 to $2 billion 
Staff Data Scientist - Analytics,$137K-$171K,4.4,Intuit - Data,"San Diego, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Data Scientist,$137K-$171K,3.6,XSELL Technologies,"Chicago, IL",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Scientist,$137K-$171K,4.5,Novetta,"Herndon, VA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million 
Data Scientist,$137K-$171K,4.7,1904labs,"Saint Louis, MO",51 - 200 ,Company - Private,IT Services,Unknown 
"Data Scientist - Statistics, Early Career",$137K-$171K,3.7,PNNL,"Richland, WA",1001 - 5000 ,Government,Energy,$500 million to $1 billion 
Data Modeler,$137K-$171K,3.1,Old World Industries,"Northbrook, IL",201 - 500 ,Company - Private,Chemical Manufacturing,$1 to $2 billion 
Data Scientist,$137K-$171K,3.4,Mathematica Policy Research,"Washington, DC",1001 - 5000 ,Company - Private,Consulting,$100 to $500 million 
Experienced Data Scientist,$137K-$171K,4.4,Guzman ,"Washington, DC",1 - 50 ,Company - Private,Federal Agencies,Unknown 
Data Scientist - Contract,$137K-$171K,4.1,Upside Business Travel,Remote,51 - 200 ,Company - Private,Internet,Unknown 
Data Scientist,$137K-$171K,3.5,Buckman,"Memphis, TN",1001 - 5000 ,Company - Private,Chemical Manufacturing,$500 million to $1 billion 
